id,symbol,company_name,open_price,high_price,low_price,close_price,volume,price_date
2895,ASII.JK,"Astra International",4447.92,4447.92,4351.57,4415.80,15008600,2020-01-02
2896,ASII.JK,"Astra International",4447.92,4463.98,4383.69,4463.98,19068800,2020-01-03
2897,ASII.JK,"Astra International",4431.86,4431.86,4335.52,4335.52,22261900,2020-01-06
2898,ASII.JK,"Astra International",4367.63,4383.69,4287.34,4351.57,27963000,2020-01-07
2899,ASII.JK,"Astra International",4303.40,4383.69,4303.40,4351.57,15150400,2020-01-08
2900,ASII.JK,"Astra International",4367.63,4415.80,4335.52,4415.80,19691200,2020-01-09
2901,ASII.JK,"Astra International",4431.86,4447.92,4383.69,4383.69,17687600,2020-01-10
2902,ASII.JK,"Astra International",4399.75,4447.92,4383.69,4447.92,29585200,2020-01-13
2903,ASII.JK,"Astra International",4480.03,4608.49,4447.92,4608.49,41214400,2020-01-14
2904,ASII.JK,"Astra International",4592.44,4656.67,4512.15,4624.55,38535100,2020-01-15
2905,ASII.JK,"Astra International",4576.38,4624.55,4544.26,4576.38,38504400,2020-01-16
2906,ASII.JK,"Astra International",4544.26,4592.44,4496.09,4544.26,26714800,2020-01-17
2907,ASII.JK,"Astra International",4560.32,4576.38,4480.03,4496.09,22389100,2020-01-20
2908,ASII.JK,"Astra International",4512.15,4512.15,4447.92,4512.15,12520300,2020-01-21
2909,ASII.JK,"Astra International",4512.15,4544.26,4480.03,4496.09,20100300,2020-01-22
2910,ASII.JK,"Astra International",4528.21,4560.32,4496.09,4528.21,18020200,2020-01-23
2911,ASII.JK,"Astra International",4496.09,4528.21,4480.03,4480.03,13710000,2020-01-24
2912,ASII.JK,"Astra International",4480.03,4480.03,4303.40,4319.46,17470800,2020-01-27
2913,ASII.JK,"Astra International",4287.34,4383.69,4271.29,4383.69,23466100,2020-01-28
2914,ASII.JK,"Astra International",4399.75,4399.75,4335.52,4383.69,12646100,2020-01-29
2915,ASII.JK,"Astra International",4351.57,4367.63,4255.23,4255.23,25324800,2020-01-30
2916,ASII.JK,"Astra International",4271.29,4287.34,4078.60,4078.60,66460400,2020-01-31
2917,ASII.JK,"Astra International",4030.42,4126.77,4014.37,4030.42,34538400,2020-02-03
2918,ASII.JK,"Astra International",4078.60,4142.83,4046.48,4110.71,46272800,2020-02-04
2919,ASII.JK,"Astra International",4142.83,4174.94,4046.48,4110.71,32227100,2020-02-05
2920,ASII.JK,"Astra International",4174.94,4191.00,4126.77,4174.94,26015800,2020-02-06
2921,ASII.JK,"Astra International",4207.06,4207.06,4110.71,4110.71,13918700,2020-02-07
2922,ASII.JK,"Astra International",4110.71,4110.71,3966.19,3982.25,45366900,2020-02-10
2923,ASII.JK,"Astra International",4046.48,4046.48,3885.91,3918.02,54325000,2020-02-11
2924,ASII.JK,"Astra International",3901.96,3918.02,3805.62,3837.73,51100700,2020-02-12
2925,ASII.JK,"Astra International",3837.73,3869.85,3805.62,3821.68,33021700,2020-02-13
2926,ASII.JK,"Astra International",3837.73,3918.02,3805.62,3918.02,60901000,2020-02-14
2927,ASII.JK,"Astra International",3950.14,3966.19,3885.91,3918.02,16567600,2020-02-17
2928,ASII.JK,"Astra International",3885.91,3982.25,3885.91,3918.02,27960300,2020-02-18
2929,ASII.JK,"Astra International",3966.19,4014.37,3950.14,4014.37,35186100,2020-02-19
2930,ASII.JK,"Astra International",4030.42,4030.42,3934.08,4030.42,37995400,2020-02-20
2931,ASII.JK,"Astra International",4030.42,4046.48,3950.14,3982.25,33804700,2020-02-21
2932,ASII.JK,"Astra International",3885.91,3950.14,3869.85,3918.02,34190600,2020-02-24
2933,ASII.JK,"Astra International",3853.79,4030.42,3837.73,3998.31,40723200,2020-02-25
2934,ASII.JK,"Astra International",3918.02,3950.14,3885.91,3885.91,34453700,2020-02-26
2935,ASII.JK,"Astra International",3918.02,3918.02,3821.68,3821.68,44801100,2020-02-27
2936,ASII.JK,"Astra International",3757.45,3757.45,3548.70,3548.70,100693900,2020-02-28
2937,ASII.JK,"Astra International",3661.10,3757.45,3612.93,3661.10,63765800,2020-03-02
2938,ASII.JK,"Astra International",3757.45,3837.73,3709.27,3789.56,53817300,2020-03-03
2939,ASII.JK,"Astra International",3789.56,3869.85,3773.50,3837.73,43566600,2020-03-04
2940,ASII.JK,"Astra International",3869.85,3885.91,3773.50,3885.91,40537300,2020-03-05
2941,ASII.JK,"Astra International",3821.68,3821.68,3645.05,3645.05,31282500,2020-03-06
2942,ASII.JK,"Astra International",3532.64,3532.64,3227.55,3227.55,87904100,2020-03-09
2943,ASII.JK,"Astra International",3275.72,3420.24,3275.72,3307.84,86444600,2020-03-10
2944,ASII.JK,"Astra International",3307.84,3323.90,3243.61,3291.78,45134700,2020-03-11
2945,ASII.JK,"Astra International",3211.49,3227.55,3095.88,3153.69,64824200,2020-03-12
2946,ASII.JK,"Astra International",3153.69,3153.69,3153.69,3153.69,0,2020-03-13
2947,ASII.JK,"Astra International",3063.76,3063.76,2909.61,2948.15,55655900,2020-03-16
2948,ASII.JK,"Astra International",2948.15,2954.57,2742.62,2742.62,67166600,2020-03-17
2949,ASII.JK,"Astra International",2755.46,2794.00,2556.35,2665.54,61972000,2020-03-18
2950,ASII.JK,"Astra International",2582.04,2582.04,2479.27,2479.27,27066700,2020-03-19
2951,ASII.JK,"Astra International",2498.54,2504.96,2305.85,2427.89,141147800,2020-03-20
2952,ASII.JK,"Astra International",2427.89,2427.89,2260.89,2260.89,40318500,2020-03-23
2953,ASII.JK,"Astra International",2293.01,2318.70,2106.74,2106.74,89502100,2020-03-24
2954,ASII.JK,"Astra International",2068.20,2363.66,2068.20,2325.12,180290700,2020-03-26
2955,ASII.JK,"Astra International",2344.39,2800.42,2344.39,2620.58,150312000,2020-03-27
2956,ASII.JK,"Astra International",2620.58,2620.58,2440.73,2440.73,45490800,2020-03-30
2957,ASII.JK,"Astra International",2492.12,2556.35,2402.20,2504.96,62534800,2020-03-31
2958,ASII.JK,"Astra International",2492.12,2627.00,2344.39,2421.47,78042900,2020-04-01
2959,ASII.JK,"Astra International",2357.24,2524.23,2299.43,2524.23,39717300,2020-04-02
2960,ASII.JK,"Astra International",2562.77,2601.31,2479.27,2504.96,42577100,2020-04-03
